top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,migrated,reason
1876,1101,32,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1879,1091,37,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1880,1102,37,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1884,1092,39,continent,21,Africa,2,True,EXCLUDED_OTHER_DEFECT_CLASS
1885,1014,39,continent,21,Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1886,1103,39,continent,21,Africa,4,True,EXCLUDED_OTHER_DEFECT_CLASS
1887,1044,39,continent,21,Africa,5,True,EXCLUDED_OTHER_DEFECT_CLASS
1888,1053,39,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1903,1087,177,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1904,1040,177,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
1905,1072,177,continent,21,Africa,8,True,EXCLUDED_OTHER_DEFECT_CLASS
1906,1074,177,continent,21,Africa,9,True,EXCLUDED_OTHER_DEFECT_CLASS
1907,1098,177,continent,21,Africa,10,True,EXCLUDED_OTHER_DEFECT_CLASS
1908,1108,179,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1919,1068,185,continent,21,Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1924,1073,188,continent,21,Africa,3,True,EXCLUDED_OTHER_DEFECT_CLASS
1925,1035,188,continent,21,Africa,4,True,EXCLUDED_OTHER_DEFECT_CLASS
1926,1020,188,continent,21,Africa,5,True,EXCLUDED_OTHER_DEFECT_CLASS
1927,1029,188,continent,21,Africa,6,True,EXCLUDED_OTHER_DEFECT_CLASS
1928,1019,188,continent,21,Africa,7,True,EXCLUDED_OTHER_DEFECT_CLASS
