top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,score,total_votes,migrated,reason
1526,851,103,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1599,791,196,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1604,771,213,regional,4,East Africa,5,1,1,True,AUTHORITATIVE_COHORT_RESULT
1607,827,215,regional,4,East Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1608,789,215,regional,4,East Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
1609,914,215,regional,4,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1610,774,217,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1611,773,217,regional,4,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1612,988,219,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1613,941,223,regional,4,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1614,936,223,regional,4,East Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1625,995,11,continent,4,Africa,2,4,1,True,AUTHORITATIVE_COHORT_RESULT
1626,992,11,continent,4,Africa,3,2,1,True,AUTHORITATIVE_COHORT_RESULT
1628,984,11,continent,4,Africa,5,0,0,False,AUTHORITATIVE_COHORT_RESULT
1629,974,13,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1630,664,13,continent,4,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1631,839,15,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1633,640,17,continent,4,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1635,944,19,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1636,837,19,continent,4,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1637,803,19,continent,4,Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1641,915,21,continent,4,Africa,2,0,0,False,AUTHORITATIVE_COHORT_RESULT
1642,841,21,continent,4,Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1643,840,21,continent,4,Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
1644,775,21,continent,4,Africa,5,0,0,True,AUTHORITATIVE_COHORT_RESULT
1645,883,25,continent,4,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1646,875,25,continent,4,Africa,2,0,0,False,AUTHORITATIVE_COHORT_RESULT
1648,996,29,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1649,975,29,continent,4,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1651,945,31,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1652,917,31,continent,4,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1653,1000,32,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1654,1001,37,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1660,946,41,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1661,918,41,continent,4,Africa,2,0,0,False,AUTHORITATIVE_COHORT_RESULT
1662,906,41,continent,4,Africa,3,0,0,False,AUTHORITATIVE_COHORT_RESULT
1663,876,41,continent,4,Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
1664,870,41,continent,4,Africa,5,0,0,True,AUTHORITATIVE_COHORT_RESULT
1665,947,42,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1666,919,42,continent,4,Africa,2,0,0,False,AUTHORITATIVE_COHORT_RESULT
1667,908,42,continent,4,Africa,3,0,0,True,AUTHORITATIVE_COHORT_RESULT
1668,904,42,continent,4,Africa,4,0,0,True,AUTHORITATIVE_COHORT_RESULT
1669,879,42,continent,4,Africa,5,0,0,True,AUTHORITATIVE_COHORT_RESULT
1670,948,45,continent,4,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1671,920,45,continent,4,Africa,2,0,0,True,AUTHORITATIVE_COHORT_RESULT
1672,907,45,continent,4,Africa,3,0,0,False,AUTHORITATIVE_COHORT_RESULT
